SILO_1_Ash%,SILO_3_Ash%,SILO_4_Ash%,SILO_5_Ash%,SILO_1_CSN,SILO_3_CSN,SILO_4_CSN,SILO_5_CSN,SILO_1_F.C.%,SILO_3_F.C.%,SILO_4_F.C.%,SILO_5_F.C.%,SILO_1_GM%,SILO_3_GM%,SILO_4_GM%,SILO_5_GM%,SILO_1_I.M.%,SILO_3_I.M.%,SILO_4_I.M.%,SILO_5_I.M.%,SILO_1_V.M.%,SILO_3_V.M.%,SILO_4_V.M.%,SILO_5_V.M.%,SILO_2_Ash%,SILO_2_CSN,SILO_2_F.C.%,SILO_2_GM%,SILO_2_I.M.%,SILO_2_V.M.%,SILO_1_DISCHARGE,SILO_2_DISCHARGE,SILO_3_DISCHARGE,SILO_4_DISCHARGE,SILO_5_DISCHARGE,BLEND_GM%,BLEND_Ash%,BLEND_I.M.%,BLEND_V.M.%,BLEND_F.C.%,BLEND_CSN
9.65,7.9,0.0,9.79,8.0,8.0,0.0,1.0,66.93,58.22,0.0,69.61000000000001,6.954545454545455,7.992565055762081,0.0,10.03,0.52,0.88,0.0,0.7,22.9,33.0,0.0,19.9,10.3,5.0,64.79,11.629213483146067,0.61,24.3,5.7,45.9,23.0,0.0,25.3,9.57,9.42,0.7,24.4,65.47999999999999,5.0
0.0,11.8,0.0,10.0,0.0,8.5,0.0,1.0,0.0,55.85000000000001,0.0,69.51,0.0,10.796915167095117,0.0,10.647181628392484,0.0,0.35,0.0,0.49,0.0,32.0,0.0,20.0,10.5,4.0,64.69,4.226096143687269,0.51,24.3,0.0,46.0,29.9,0.0,24.1,8.65,9.36,0.51,24.4,65.72999999999999,4.5
0.0,7.76,0.0,9.99,0.0,8.0,0.0,1.0,0.0,58.40999999999999,0.0,69.81,0.0,9.56,0.0,10.5,0.0,0.73,0.0,0.9,0.0,33.1,0.0,19.3,10.4,4.5,65.11999999999999,5.14,0.68,23.8,0.0,45.8,30.1,0.0,24.1,9.1,9.47,0.74,24.2,65.59,4.5
0.0,9.02,0.0,9.95,0.0,8.0,0.0,1.0,0.0,57.54,0.0,69.41,0.0,10.71,0.0,9.96,0.0,0.84,0.0,0.64,0.0,32.6,0.0,20.0,10.5,6.5,58.19,5.0,0.51,30.8,0.0,45.9,30.2,0.0,23.9,9.3,9.47,0.54,24.8,65.19,5.5
0.0,7.55,0.0,9.52,0.0,7.5,0.0,1.0,0.0,59.23,0.0,69.43,0.0,6.59,0.0,7.95,0.0,0.62,0.0,0.95,0.0,32.6,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,23.0,0.0,24.0,8.7,9.5,0.76,24.2,65.53999999999999,4.5
0.0,7.8,10.4,9.02,0.0,7.5,8.5,1.0,0.0,58.45,65.41,70.89,0.0,10.38,5.74,10.15,0.0,1.05,0.59,0.89,0.0,32.7,23.6,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,22.0,20.0,23.0,8.72,9.43,0.78,24.5,65.28999999999999,4.5
0.0,8.24,10.4,9.08,0.0,8.0,8.5,1.0,0.0,58.00000000000001,64.75,71.91,0.0,6.713164777680906,10.445682451253482,9.075342465753424,0.0,0.86,0.75,1.01,0.0,32.9,24.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,22.0,20.0,23.0,8.33,9.48,0.89,24.3,65.33,5.0
0.0,7.91,10.9,9.08,0.0,8.0,8.5,1.0,0.0,57.33,64.67,71.19,0.0,8.634538152610443,11.408379606259466,11.45975443383356,0.0,1.26,0.63,1.13,0.0,33.5,23.8,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,20.0,23.0,9.171162334477684,9.5,0.92,24.2,65.38,5.0
0.0,7.49,10.5,9.58,0.0,7.0,9.0,1.0,0.0,58.68000000000001,65.35,70.28,0.0,7.3,10.11,8.95,0.0,1.03,0.55,0.84,0.0,32.8,23.6,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,20.0,23.0,9.35,9.48,0.69,24.1,65.72999999999999,4.5
9.78,8.93,10.1,8.65,8.5,8.0,9.0,1.0,66.63,57.15999999999999,65.54,71.22999999999999,7.99,9.64,9.86,9.89,0.49,1.01,0.66,1.52,23.1,32.9,23.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,8.3,9.35,0.9,24.2,65.55,4.5
9.8,7.2,10.1,8.8,8.5,7.5,9.0,1.0,66.52,58.74999999999999,65.42,71.41,7.72,8.05,10.06,12.38,0.68,0.95,0.48,1.09,23.0,33.1,24.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,8.43,9.44,0.84,24.5,65.22,4.5
9.69,8.87,10.6,9.29,8.5,8.0,8.5,1.0,65.70000000000002,80.94,63.61,70.5,8.4,6.18,9.73,11.27,0.71,1.2,0.79,1.31,23.9,8.99,25.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,9.08,9.4,0.99,24.9,64.71000000000001,5.0
9.56,7.43,11.1,9.09,8.0,8.5,9.0,1.0,67.02,59.45999999999999,62.81,71.4,10.303030303030305,8.463541666666668,8.603491271820449,7.3510773130545,0.62,1.01,0.89,1.11,22.8,32.1,25.2,18.4,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,8.24,9.02,0.96,24.8,65.22000000000001,5.0
